video no,v_u,peak_slope,naq,frequency,energy,slope,spectral,polarity
45,0.498023946,0.1614119917,0.1299138331,24.4840831615,14.7639153415,0.0191239829,0.0811038064,1
45,0.4752449414,0.1004024017,0.1260319827,23.7728844256,13.9489816179,0.0170804821,0.1046123143,0
45,0.4827720393,0.1309779211,0.1006289098,22.0822042302,13.3744270034,0.0190685414,0.098261413,0
45,0.4852480004,0.1137057473,0.1132830635,25.6074238772,15.8131205525,0.0182606038,0.1132136978,0
45,0.4866782419,0.1273158729,0.1148661902,23.9271646245,14.5675964246,0.020534332,0.1154808033,1
46,0.4835982598,0.0651210413,0.1367287083,25.2809899245,6.8903934192,0.0188136038,0.104655322,0
46,0.4999017693,0.0858387198,0.0836905672,24.8021621657,7.9363778713,0.0153559565,0.1294452983,1
46,0.4826106483,0.0867182578,0.0773661042,28.4523823357,6.7539816416,0.0144947769,0.1327214471,1
47,0.4999594656,0.085996772,0.1182883494,57.6017120093,8.9867537771,0.0118526295,0.1454148507,0
47,0.4913247997,0.0805141818,0.103533626,57.9821019914,9.2187084289,0.0119650708,0.1505347624,-1
47,0.4837878362,0.1040572996,0.1179189528,68.7265974998,7.4531461391,0.0116671538,0.1371965286,-1
47,0.4973677324,0.0711069567,0.1273782327,59.9516039776,9.7216923791,0.0117426443,0.1393399593,0
48,0.4934802787,0.0569844527,0.085613735,54.9306315561,11.5862022491,0.0149079186,0.1474543155,-1
48,0.4754466309,0.093061809,0.0542776126,50.4824058041,9.214248899,0.0170494555,0.0976223469,0
48,0.4919010336,0.1034132626,0.0565830944,45.7199788038,10.3945723894,0.0162099625,0.1129145706,1
48,0.4765395441,0.1109426535,0.0542047741,44.8917122911,10.2658242544,0.0174974073,0.0873397298,0
